Season,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Attend.,Arena
2010,"Wed, Mar 17, 2010",Memphis Grizzlies,94,Houston Rockets,107,16142,Toyota Center
2010,"Wed, Mar 17, 2010",Minnesota Timberwolves,100,Utah Jazz,122,19851,EnergySolutions Arena
2010,"Wed, Mar 17, 2010",New Orleans Hornets,121,Golden State Warriors,131,17155,Oracle Arena
2010,"Wed, Mar 17, 2010",Milwaukee Bucks,93,Los Angeles Clippers,101,15241,STAPLES Center
2010,"Thu, Mar 18, 2010",Orlando Magic,108,Miami Heat,102,18874,AmericanAirlines Arena
2010,"Thu, Mar 18, 2010",New Orleans Hornets,80,Denver Nuggets,93,19155,Pepsi Center
2010,"Fri, Mar 19, 2010",Detroit Pistons,102,Indiana Pacers,106,13583,Conseco Fieldhouse
2010,"Fri, Mar 19, 2010",Oklahoma City Thunder,115,Toronto Raptors,89,19351,Air Canada Centre
2010,"Fri, Mar 19, 2010",Charlotte Bobcats,92,Atlanta Hawks,93,17697,Philips Arena
2010,"Fri, Mar 19, 2010",Philadelphia 76ers,88,New York Knicks,92,19763,Madison Square Garden (IV)
2010,"Fri, Mar 19, 2010",Cleveland Cavaliers,92,Chicago Bulls,85,23129,United Center
2010,"Fri, Mar 19, 2010",Boston Celtics,94,Houston Rockets,87,18198,Toyota Center
2010,"Fri, Mar 19, 2010",Golden State Warriors,116,San Antonio Spurs,147,18581,AT&T Center
2010,"Fri, Mar 19, 2010",Utah Jazz,100,Phoenix Suns,110,18422,US Airways Center
2010,"Fri, Mar 19, 2010",Washington Wizards,74,Portland Trail Blazers,76,20592,Rose Garden Arena
2010,"Fri, Mar 19, 2010",Milwaukee Bucks,114,Sacramento Kings,108,12098,Power Balance Pavilion
2010,"Fri, Mar 19, 2010",Minnesota Timberwolves,96,Los Angeles Lakers,104,18997,STAPLES Center
2010,"Sat, Mar 20, 2010",Chicago Bulls,98,Philadelphia 76ers,84,16098,Wachovia Center
2010,"Sat, Mar 20, 2010",Charlotte Bobcats,71,Miami Heat,77,18766,AmericanAirlines Arena
2010,"Sat, Mar 20, 2010",Toronto Raptors,100,New Jersey Nets,90,11048,Izod Center
2010,"Sat, Mar 20, 2010",Golden State Warriors,107,Memphis Grizzlies,123,14897,FedEx Forum
2010,"Sat, Mar 20, 2010",Boston Celtics,102,Dallas Mavericks,93,20488,American Airlines Center
2010,"Sat, Mar 20, 2010",Milwaukee Bucks,102,Denver Nuggets,97,19390,Pepsi Center
2010,"Sat, Mar 20, 2010",New Orleans Hornets,86,Utah Jazz,106,18766,EnergySolutions Arena
2010,"Sun, Mar 21, 2010",Houston Rockets,116,New York Knicks,112,17242,Madison Square Garden (IV)
2010,"Sun, Mar 21, 2010",Oklahoma City Thunder,101,Indiana Pacers,121,14701,Conseco Fieldhouse
2010,"Sun, Mar 21, 2010",Sacramento Kings,102,Los Angeles Clippers,89,17233,STAPLES Center
2010,"Sun, Mar 21, 2010",Detroit Pistons,79,Cleveland Cavaliers,104,20562,Quicken Loans Arena
2010,"Sun, Mar 21, 2010",San Antonio Spurs,114,Atlanta Hawks,119,18729,Philips Arena
2010,"Sun, Mar 21, 2010",Washington Wizards,92,Los Angeles Lakers,99,18997,STAPLES Center
2010,"Sun, Mar 21, 2010",Portland Trail Blazers,87,Phoenix Suns,93,18422,US Airways Center
2010,"Mon, Mar 22, 2010",Orlando Magic,109,Philadelphia 76ers,93,13995,Wachovia Center
2010,"Mon, Mar 22, 2010",Miami Heat,99,New Jersey Nets,89,11934,Izod Center
2010,"Mon, Mar 22, 2010",Houston Rockets,88,Chicago Bulls,98,19834,United Center
2010,"Mon, Mar 22, 2010",Atlanta Hawks,95,Milwaukee Bucks,98,14186,Bradley Center
2010,"Mon, Mar 22, 2010",Toronto Raptors,106,Minnesota Timberwolves,100,14554,Target Center
2010,"Mon, Mar 22, 2010",Dallas Mavericks,99,New Orleans Hornets,115,14047,New Orleans Arena
2010,"Mon, Mar 22, 2010",San Antonio Spurs,99,Oklahoma City Thunder,96,18203,Oklahoma City Arena
2010,"Mon, Mar 22, 2010",Boston Celtics,97,Utah Jazz,110,19911,EnergySolutions Arena
2010,"Mon, Mar 22, 2010",Memphis Grizzlies,102,Sacramento Kings,85,11497,Power Balance Pavilion
2010,"Mon, Mar 22, 2010",Phoenix Suns,133,Golden State Warriors,131,18722,Oracle Arena
2010,"Tue, Mar 23, 2010",Charlotte Bobcats,95,Washington Wizards,86,12742,Verizon Center
2010,"Tue, Mar 23, 2010",Indiana Pacers,98,Detroit Pistons,83,17109,The Palace of Auburn Hills
2010,"Tue, Mar 23, 2010",Denver Nuggets,104,New York Knicks,109,19763,Madison Square Garden (IV)
2010,"Tue, Mar 23, 2010",Los Angeles Clippers,96,Dallas Mavericks,106,19705,American Airlines Center
2010,"Wed, Mar 24, 2010",Orlando Magic,84,Atlanta Hawks,86,16887,Philips Arena
2010,"Wed, Mar 24, 2010",Denver Nuggets,99,Boston Celtics,113,18624,TD Garden
2010,"Wed, Mar 24, 2010",Minnesota Timberwolves,95,Charlotte Bobcats,108,14457,Time Warner Cable Arena
2010,"Wed, Mar 24, 2010",Washington Wizards,82,Indiana Pacers,99,12504,Conseco Fieldhouse
2010,"Wed, Mar 24, 2010",Utah Jazz,113,Toronto Raptors,87,16178,Air Canada Centre
2010,"Wed, Mar 24, 2010",Sacramento Kings,79,New Jersey Nets,93,10068,Izod Center
2010,"Wed, Mar 24, 2010",Philadelphia 76ers,101,Milwaukee Bucks,86,12675,Bradley Center
2010,"Wed, Mar 24, 2010",Cleveland Cavaliers,105,New Orleans Hornets,92,18008,New Orleans Arena
2010,"Wed, Mar 24, 2010",Houston Rockets,104,Oklahoma City Thunder,122,18203,Oklahoma City Arena
2010,"Wed, Mar 24, 2010",Los Angeles Lakers,92,San Antonio Spurs,83,18581,AT&T Center
2010,"Wed, Mar 24, 2010",Memphis Grizzlies,110,Golden State Warriors,128,17123,Oracle Arena
2010,"Thu, Mar 25, 2010",Miami Heat,103,Chicago Bulls,74,21592,United Center
2010,"Thu, Mar 25, 2010",Los Angeles Clippers,99,Houston Rockets,93,15201,Toyota Center
2010,"Thu, Mar 25, 2010",Dallas Mavericks,89,Portland Trail Blazers,101,20611,Rose Garden Arena
2010,"Fri, Mar 26, 2010",Washington Wizards,96,Charlotte Bobcats,107,16365,Time Warner Cable Arena
2010,"Fri, Mar 26, 2010",Utah Jazz,106,Indiana Pacers,122,15463,Conseco Fieldhouse
2010,"Fri, Mar 26, 2010",Minnesota Timberwolves,97,Orlando Magic,106,17461,Amway Arena
2010,"Fri, Mar 26, 2010",Atlanta Hawks,98,Philadelphia 76ers,105,13293,Wachovia Center
2010,"Fri, Mar 26, 2010",Denver Nuggets,97,Toronto Raptors,96,19800,Air Canada Centre
2010,"Fri, Mar 26, 2010",Sacramento Kings,86,Boston Celtics,94,18624,TD Garden
2010,"Fri, Mar 26, 2010",Detroit Pistons,110,New Jersey Nets,118,13469,Izod Center
2010,"Fri, Mar 26, 2010",Los Angeles Lakers,75,Oklahoma City Thunder,91,18203,Oklahoma City Arena
2010,"Fri, Mar 26, 2010",Miami Heat,87,Milwaukee Bucks,74,17841,Bradley Center
2010,"Fri, Mar 26, 2010",Cleveland Cavaliers,97,San Antonio Spurs,102,18581,AT&T Center
2010,"Fri, Mar 26, 2010",New York Knicks,96,Phoenix Suns,132,18422,US Airways Center
2010,"Sat, Mar 27, 2010",Utah Jazz,103,Washington Wizards,87,15312,Verizon Center
2010,"Sat, Mar 27, 2010",New Jersey Nets,83,Chicago Bulls,106,20592,United Center
2010,"Sat, Mar 27, 2010",Portland Trail Blazers,112,New Orleans Hornets,101,16475,New Orleans Arena
2010,"Sat, Mar 27, 2010",Los Angeles Lakers,109,Houston Rockets,101,18583,Toyota Center
2010,"Sat, Mar 27, 2010",Dallas Mavericks,111,Golden State Warriors,90,19104,Oracle Arena
2010,"Sun, Mar 28, 2010",Sacramento Kings,90,Cleveland Cavaliers,97,20562,Quicken Loans Arena
2010,"Sun, Mar 28, 2010",Memphis Grizzlies,103,Milwaukee Bucks,108,17008,Bradley Center
2010,"Sun, Mar 28, 2010",Indiana Pacers,84,Atlanta Hawks,94,16646,Philips Arena
2010,"Sun, Mar 28, 2010",Chicago Bulls,110,Detroit Pistons,103,22076,The Palace of Auburn Hills
2010,"Sun, Mar 28, 2010",Toronto Raptors,94,Miami Heat,97,19600,AmericanAirlines Arena
2010,"Sun, Mar 28, 2010",Denver Nuggets,97,Orlando Magic,103,17461,Amway Arena
2010,"Sun, Mar 28, 2010",Phoenix Suns,111,Minnesota Timberwolves,105,16668,Target Center
2010,"Sun, Mar 28, 2010",Portland Trail Blazers,92,Oklahoma City Thunder,87,18203,Oklahoma City Arena
2010,"Sun, Mar 28, 2010",San Antonio Spurs,94,Boston Celtics,73,18624,TD Garden
2010,"Sun, Mar 28, 2010",Golden State Warriors,121,Los Angeles Clippers,103,17868,STAPLES Center
2010,"Mon, Mar 29, 2010",Toronto Raptors,103,Charlotte Bobcats,101,14534,Time Warner Cable Arena
2010,"Mon, Mar 29, 2010",San Antonio Spurs,84,New Jersey Nets,90,13053,Izod Center
2010,"Mon, Mar 29, 2010",Los Angeles Lakers,100,New Orleans Hornets,108,18206,New Orleans Arena
2010,"Mon, Mar 29, 2010",Denver Nuggets,93,Dallas Mavericks,109,20085,American Airlines Center
2010,"Mon, Mar 29, 2010",New York Knicks,98,Utah Jazz,103,19911,EnergySolutions Arena
2010,"Tue, Mar 30, 2010",Sacramento Kings,95,Indiana Pacers,102,13339,Conseco Fieldhouse
2010,"Tue, Mar 30, 2010",Oklahoma City Thunder,111,Philadelphia 76ers,93,14809,Wachovia Center
2010,"Tue, Mar 30, 2010",Phoenix Suns,111,Chicago Bulls,105,21169,United Center
2010,"Tue, Mar 30, 2010",Los Angeles Clippers,89,Milwaukee Bucks,107,14321,Bradley Center
2010,"Tue, Mar 30, 2010",Washington Wizards,94,Houston Rockets,98,14395,Toyota Center
2010,"Wed, Mar 31, 2010",Los Angeles Lakers,92,Atlanta Hawks,109,20190,Philips Arena
2010,"Wed, Mar 31, 2010",Philadelphia 76ers,84,Charlotte Bobcats,103,14139,Time Warner Cable Arena
2010,"Wed, Mar 31, 2010",Milwaukee Bucks,98,Cleveland Cavaliers,101,20562,Quicken Loans Arena
2010,"Wed, Mar 31, 2010",Los Angeles Clippers,92,Toronto Raptors,114,16106,Air Canada Centre
2010,"Wed, Mar 31, 2010",Oklahoma City Thunder,109,Boston Celtics,104,18624,TD Garden
2010,"Wed, Mar 31, 2010",Miami Heat,98,Detroit Pistons,81,22076,The Palace of Auburn Hills
2010,"Wed, Mar 31, 2010",Phoenix Suns,116,New Jersey Nets,105,14734,Izod Center
2010,"Wed, Mar 31, 2010",Dallas Mavericks,106,Memphis Grizzlies,102,11616,FedEx Forum
2010,"Wed, Mar 31, 2010",Sacramento Kings,99,Minnesota Timberwolves,108,15582,Target Center
2010,"Wed, Mar 31, 2010",Washington Wizards,96,New Orleans Hornets,91,14634,New Orleans Arena
2010,"Wed, Mar 31, 2010",Houston Rockets,102,San Antonio Spurs,119,18581,AT&T Center
2010,"Wed, Mar 31, 2010",New York Knicks,90,Portland Trail Blazers,118,20636,Rose Garden Arena
2010,"Wed, Mar 31, 2010",Golden State Warriors,104,Utah Jazz,128,19617,EnergySolutions Arena
2010,"Thu, Apr 1, 2010",Orlando Magic,97,Dallas Mavericks,82,19965,American Airlines Center
2010,"Thu, Apr 1, 2010",Portland Trail Blazers,92,Denver Nuggets,109,19155,Pepsi Center
2010,"Fri, Apr 2, 2010",Milwaukee Bucks,86,Charlotte Bobcats,87,18118,Time Warner Cable Arena
2010,"Fri, Apr 2, 2010",Miami Heat,105,Indiana Pacers,96,16787,Conseco Fieldhouse
2010,"Fri, Apr 2, 2010",Chicago Bulls,95,Washington Wizards,87,18002,Verizon Center
2010,"Fri, Apr 2, 2010",Houston Rockets,119,Boston Celtics,114,18624,TD Garden
2010,"Fri, Apr 2, 2010",Atlanta Hawks,88,Cleveland Cavaliers,93,20562,Quicken Loans Arena
2010,"Fri, Apr 2, 2010",Phoenix Suns,109,Detroit Pistons,94,22076,The Palace of Auburn Hills
2010,"Fri, Apr 2, 2010",New Orleans Hornets,96,Memphis Grizzlies,107,15043,FedEx Forum
2010,"Fri, Apr 2, 2010",Orlando Magic,100,San Antonio Spurs,112,18581,AT&T Center
2010,"Fri, Apr 2, 2010",New York Knicks,117,Golden State Warriors,128,19230,Oracle Arena
2010,"Fri, Apr 2, 2010",Utah Jazz,92,Los Angeles Lakers,106,18997,STAPLES Center
2010,"Sat, Apr 3, 2010",Toronto Raptors,128,Philadelphia 76ers,123,13430,Wachovia Center
2010,"Sat, Apr 3, 2010",Detroit Pistons,85,Atlanta Hawks,91,18729,Philips Arena
2010,"Sat, Apr 3, 2010",New Orleans Hornets,87,New Jersey Nets,115,14698,Izod Center
2010,"Sat, Apr 3, 2010",Charlotte Bobcats,88,Chicago Bulls,96,20996,United Center
2010,"Sat, Apr 3, 2010",Miami Heat,97,Minnesota Timberwolves,84,17601,Target Center
2010,"Sat, Apr 3, 2010",Oklahoma City Thunder,121,Dallas Mavericks,116,20329,American Airlines Center
2010,"Sat, Apr 3, 2010",Phoenix Suns,98,Milwaukee Bucks,107,16436,Bradley Center
2010,"Sat, Apr 3, 2010",Los Angeles Clippers,90,Denver Nuggets,98,19155,Pepsi Center
2010,"Sat, Apr 3, 2010",Portland Trail Blazers,98,Sacramento Kings,87,12875,Power Balance Pavilion
2010,"Sun, Apr 4, 2010",Cleveland Cavaliers,113,Boston Celtics,117,18624,TD Garden
2010,"Sun, Apr 4, 2010",San Antonio Spurs,100,Los Angeles Lakers,81,18997,STAPLES Center
2010,"Sun, Apr 4, 2010",Houston Rockets,102,Indiana Pacers,133,14201,Conseco Fieldhouse
2010,"Sun, Apr 4, 2010",Memphis Grizzlies,92,Orlando Magic,107,17461,Amway Arena
2010,"Sun, Apr 4, 2010",Golden State Warriors,113,Toronto Raptors,112,17509,Air Canada Centre
2010,"Sun, Apr 4, 2010",New Jersey Nets,99,Washington Wizards,109,10112,Verizon Center
2010,"Sun, Apr 4, 2010",Minnesota Timberwolves,108,Oklahoma City Thunder,116,18203,Oklahoma City Arena
2010,"Sun, Apr 4, 2010",New York Knicks,113,Los Angeles Clippers,107,16083,STAPLES Center
2010,"Tue, Apr 6, 2010",Atlanta Hawks,100,Charlotte Bobcats,109,18610,Time Warner Cable Arena
2010,"Tue, Apr 6, 2010",Toronto Raptors,101,Cleveland Cavaliers,113,20562,Quicken Loans Arena
2010,"Tue, Apr 6, 2010",Detroit Pistons,124,Philadelphia 76ers,103,13832,Wachovia Center
2010,"Tue, Apr 6, 2010",Golden State Warriors,94,Washington Wizards,112,14721,Verizon Center
2010,"Tue, Apr 6, 2010",Boston Celtics,101,New York Knicks,104,19763,Madison Square Garden (IV)
2010,"Tue, Apr 6, 2010",Milwaukee Bucks,79,Chicago Bulls,74,20268,United Center
2010,"Tue, Apr 6, 2010",Houston Rockets,113,Memphis Grizzlies,103,11673,FedEx Forum
2010,"Tue, Apr 6, 2010",Oklahoma City Thunder,139,Utah Jazz,140,19911,EnergySolutions Arena
2010,"Tue, Apr 6, 2010",San Antonio Spurs,95,Sacramento Kings,86,11732,Power Balance Pavilion
2010,"Wed, Apr 7, 2010",New York Knicks,105,Indiana Pacers,113,15330,Conseco Fieldhouse
2010,"Wed, Apr 7, 2010",Washington Wizards,94,Orlando Magic,121,17461,Amway Arena
2010,"Wed, Apr 7, 2010",Boston Celtics,115,Toronto Raptors,104,18793,Air Canada Centre
2010,"Wed, Apr 7, 2010",Atlanta Hawks,88,Detroit Pistons,90,22076,The Palace of Auburn Hills
2010,"Wed, Apr 7, 2010",Philadelphia 76ers,95,Miami Heat,99,18221,AmericanAirlines Arena
2010,"Wed, Apr 7, 2010",Utah Jazz,96,Houston Rockets,113,15004,Toyota Center
2010,"Wed, Apr 7, 2010",New Jersey Nets,89,Milwaukee Bucks,108,16037,Bradley Center
2010,"Wed, Apr 7, 2010",Golden State Warriors,116,Minnesota Timberwolves,107,15863,Target Center
2010,"Wed, Apr 7, 2010",Charlotte Bobcats,104,New Orleans Hornets,103,13333,New Orleans Arena
2010,"Wed, Apr 7, 2010",Denver Nuggets,98,Oklahoma City Thunder,94,18332,Oklahoma City Arena
2010,"Wed, Apr 7, 2010",Memphis Grizzlies,84,Dallas Mavericks,110,20105,American Airlines Center
2010,"Wed, Apr 7, 2010",Portland Trail Blazers,93,Los Angeles Clippers,85,16790,STAPLES Center
2010,"Wed, Apr 7, 2010",San Antonio Spurs,101,Phoenix Suns,112,18422,US Airways Center
2010,"Thu, Apr 8, 2010",Cleveland Cavaliers,108,Chicago Bulls,109,21707,United Center
2010,"Thu, Apr 8, 2010",Los Angeles Clippers,94,Sacramento Kings,116,11418,Power Balance Pavilion
2010,"Thu, Apr 8, 2010",Los Angeles Lakers,96,Denver Nuggets,98,20044,Pepsi Center
2010,"Fri, Apr 9, 2010",New York Knicks,103,Orlando Magic,118,17461,Amway Arena
2010,"Fri, Apr 9, 2010",Milwaukee Bucks,95,Philadelphia 76ers,90,14217,Wachovia Center
2010,"Fri, Apr 9, 2010",Toronto Raptors,101,Atlanta Hawks,107,19382,Philips Arena
2010,"Fri, Apr 9, 2010",Washington Wizards,106,Boston Celtics,96,18624,TD Garden
2010,"Fri, Apr 9, 2010",Indiana Pacers,116,Cleveland Cavaliers,113,20562,Quicken Loans Arena
2010,"Fri, Apr 9, 2010",Detroit Pistons,106,Miami Heat,99,19600,AmericanAirlines Arena
2010,"Fri, Apr 9, 2010",Los Angeles Lakers,97,Minnesota Timberwolves,88,20200,Target Center
2010,"Fri, Apr 9, 2010",Chicago Bulls,116,New Jersey Nets,127,15909,Izod Center
2010,"Fri, Apr 9, 2010",Utah Jazz,114,New Orleans Hornets,103,16624,New Orleans Arena
2010,"Fri, Apr 9, 2010",Phoenix Suns,91,Oklahoma City Thunder,96,18334,Oklahoma City Arena
2010,"Fri, Apr 9, 2010",Charlotte Bobcats,90,Houston Rockets,97,16488,Toyota Center
2010,"Fri, Apr 9, 2010",Memphis Grizzlies,107,San Antonio Spurs,99,18581,AT&T Center
2010,"Fri, Apr 9, 2010",Dallas Mavericks,83,Portland Trail Blazers,77,20693,Rose Garden Arena
2010,"Sat, Apr 10, 2010",Detroit Pistons,95,Charlotte Bobcats,99,19328,Time Warner Cable Arena
2010,"Sat, Apr 10, 2010",New Jersey Nets,102,Indiana Pacers,115,18165,Conseco Fieldhouse
2010,"Sat, Apr 10, 2010",Atlanta Hawks,105,Washington Wizards,95,20173,Verizon Center
2010,"Sat, Apr 10, 2010",Philadelphia 76ers,120,Memphis Grizzlies,101,15936,FedEx Forum
2010,"Sat, Apr 10, 2010",Boston Celtics,105,Milwaukee Bucks,90,18717,Bradley Center
2010,"Sat, Apr 10, 2010",San Antonio Spurs,104,Denver Nuggets,85,19155,Pepsi Center
2010,"Sat, Apr 10, 2010",Dallas Mavericks,126,Sacramento Kings,108,15247,Power Balance Pavilion
2010,"Sat, Apr 10, 2010",Golden State Warriors,104,Los Angeles Clippers,107,17476,STAPLES Center
2010,"Sun, Apr 11, 2010",Orlando Magic,98,Cleveland Cavaliers,92,20562,Quicken Loans Arena
2010,"Sun, Apr 11, 2010",Portland Trail Blazers,91,Los Angeles Lakers,88,18997,STAPLES Center
2010,"Sun, Apr 11, 2010",Miami Heat,111,New York Knicks,98,19763,Madison Square Garden (IV)
2010,"Sun, Apr 11, 2010",Chicago Bulls,104,Toronto Raptors,88,19515,Air Canada Centre
2010,"Sun, Apr 11, 2010",Minnesota Timberwolves,86,New Orleans Hornets,114,14931,New Orleans Arena
2010,"Sun, Apr 11, 2010",Oklahoma City Thunder,117,Golden State Warriors,120,18940,Oracle Arena
2010,"Sun, Apr 11, 2010",Houston Rockets,106,Phoenix Suns,116,18422,US Airways Center
2010,"Mon, Apr 12, 2010",Orlando Magic,118,Indiana Pacers,98,18165,Conseco Fieldhouse
2010,"Mon, Apr 12, 2010",Miami Heat,107,Philadelphia 76ers,105,17401,Wachovia Center
2010,"Mon, Apr 12, 2010",Toronto Raptors,111,Detroit Pistons,97,22076,The Palace of Auburn Hills
2010,"Mon, Apr 12, 2010",Charlotte Bobcats,105,New Jersey Nets,95,14118,Izod Center
2010,"Mon, Apr 12, 2010",Washington Wizards,103,New York Knicks,114,19763,Madison Square Garden (IV)
2010,"Mon, Apr 12, 2010",Atlanta Hawks,104,Milwaukee Bucks,96,14186,Bradley Center
2010,"Mon, Apr 12, 2010",Minnesota Timberwolves,111,San Antonio Spurs,133,18581,AT&T Center
2010,"Mon, Apr 12, 2010",Memphis Grizzlies,101,Denver Nuggets,123,19155,Pepsi Center
2010,"Mon, Apr 12, 2010",Oklahoma City Thunder,95,Portland Trail Blazers,103,20691,Rose Garden Arena
2010,"Mon, Apr 12, 2010",Houston Rockets,117,Sacramento Kings,107,14549,Power Balance Pavilion
2010,"Mon, Apr 12, 2010",Dallas Mavericks,117,Los Angeles Clippers,94,17838,STAPLES Center
2010,"Tue, Apr 13, 2010",Boston Celtics,93,Chicago Bulls,101,20649,United Center
2010,"Tue, Apr 13, 2010",Utah Jazz,103,Golden State Warriors,94,19230,Oracle Arena
2010,"Tue, Apr 13, 2010",Sacramento Kings,100,Los Angeles Lakers,106,18997,STAPLES Center
2010,"Tue, Apr 13, 2010",Denver Nuggets,101,Phoenix Suns,123,18422,US Airways Center
2010,"Wed, Apr 14, 2010",Cleveland Cavaliers,83,Atlanta Hawks,99,19069,Philips Arena
2010,"Wed, Apr 14, 2010",Milwaukee Bucks,106,Boston Celtics,95,18624,TD Garden
2010,"Wed, Apr 14, 2010",Chicago Bulls,98,Charlotte Bobcats,89,17439,Time Warner Cable Arena
2010,"Wed, Apr 14, 2010",San Antonio Spurs,89,Dallas Mavericks,96,20405,American Airlines Center
2010,"Wed, Apr 14, 2010",New Orleans Hornets,123,Houston Rockets,115,18191,Toyota Center
2010,"Wed, Apr 14, 2010",New Jersey Nets,86,Miami Heat,94,18754,AmericanAirlines Arena
2010,"Wed, Apr 14, 2010",Detroit Pistons,103,Minnesota Timberwolves,98,15790,Target Center
2010,"Wed, Apr 14, 2010",Memphis Grizzlies,105,Oklahoma City Thunder,114,18334,Oklahoma City Arena
2010,"Wed, Apr 14, 2010",Philadelphia 76ers,111,Orlando Magic,125,17461,Amway Arena
2010,"Wed, Apr 14, 2010",New York Knicks,113,Toronto Raptors,131,18333,Air Canada Centre
2010,"Wed, Apr 14, 2010",Indiana Pacers,97,Washington Wizards,98,16126,Verizon Center
2010,"Wed, Apr 14, 2010",Los Angeles Lakers,91,Los Angeles Clippers,107,20044,STAPLES Center
2010,"Wed, Apr 14, 2010",Golden State Warriors,122,Portland Trail Blazers,116,20482,Rose Garden Arena
2010,"Wed, Apr 14, 2010",Phoenix Suns,100,Utah Jazz,86,19911,EnergySolutions Arena
2010,"Sat, Apr 17, 2010",Chicago Bulls,83,Cleveland Cavaliers,96,20562,Quicken Loans Arena
2010,"Sat, Apr 17, 2010",Milwaukee Bucks,92,Atlanta Hawks,102,18729,Philips Arena
2010,"Sat, Apr 17, 2010",Miami Heat,76,Boston Celtics,85,18624,TD Garden
2010,"Sat, Apr 17, 2010",Utah Jazz,113,Denver Nuggets,126,19155,Pepsi Center
2010,"Sun, Apr 18, 2010",Oklahoma City Thunder,79,Los Angeles Lakers,87,18997,STAPLES Center
2010,"Sun, Apr 18, 2010",Charlotte Bobcats,89,Orlando Magic,98,17461,Amway Arena
2010,"Sun, Apr 18, 2010",San Antonio Spurs,94,Dallas Mavericks,100,20372,American Airlines Center
2010,"Sun, Apr 18, 2010",Portland Trail Blazers,105,Phoenix Suns,100,18422,US Airways Center
2010,"Mon, Apr 19, 2010",Chicago Bulls,102,Cleveland Cavaliers,112,20562,Quicken Loans Arena
2010,"Mon, Apr 19, 2010",Utah Jazz,114,Denver Nuggets,111,19155,Pepsi Center
2010,"Tue, Apr 20, 2010",Milwaukee Bucks,86,Atlanta Hawks,96,18938,Philips Arena
2010,"Tue, Apr 20, 2010",Miami Heat,77,Boston Celtics,106,18624,TD Garden
2010,"Tue, Apr 20, 2010",Portland Trail Blazers,90,Phoenix Suns,119,18422,US Airways Center
2010,"Tue, Apr 20, 2010",Oklahoma City Thunder,92,Los Angeles Lakers,95,18997,STAPLES Center
2010,"Wed, Apr 21, 2010",Charlotte Bobcats,77,Orlando Magic,92,17461,Amway Arena
2010,"Wed, Apr 21, 2010",San Antonio Spurs,102,Dallas Mavericks,88,20728,American Airlines Center
2010,"Thu, Apr 22, 2010",Cleveland Cavaliers,106,Chicago Bulls,108,22991,United Center
2010,"Thu, Apr 22, 2010",Los Angeles Lakers,96,Oklahoma City Thunder,101,18342,Oklahoma City Arena
2010,"Thu, Apr 22, 2010",Phoenix Suns,108,Portland Trail Blazers,89,20271,Rose Garden Arena
2010,"Fri, Apr 23, 2010",Boston Celtics,100,Miami Heat,98,19500,AmericanAirlines Arena
2010,"Fri, Apr 23, 2010",Dallas Mavericks,90,San Antonio Spurs,94,18581,AT&T Center
2010,"Fri, Apr 23, 2010",Denver Nuggets,93,Utah Jazz,105,19911,EnergySolutions Arena
2010,"Sat, Apr 24, 2010",Orlando Magic,90,Charlotte Bobcats,86,19596,Time Warner Cable Arena
2010,"Sat, Apr 24, 2010",Phoenix Suns,87,Portland Trail Blazers,96,20151,Rose Garden Arena
2010,"Sat, Apr 24, 2010",Atlanta Hawks,89,Milwaukee Bucks,107,18717,Bradley Center
2010,"Sat, Apr 24, 2010",Los Angeles Lakers,89,Oklahoma City Thunder,110,18342,Oklahoma City Arena
2010,"Sun, Apr 25, 2010",Boston Celtics,92,Miami Heat,101,19520,AmericanAirlines Arena
2010,"Sun, Apr 25, 2010",Cleveland Cavaliers,121,Chicago Bulls,98,23058,United Center
2010,"Sun, Apr 25, 2010",Dallas Mavericks,89,San Antonio Spurs,92,18581,AT&T Center
2010,"Sun, Apr 25, 2010",Denver Nuggets,106,Utah Jazz,117,19911,EnergySolutions Arena
2010,"Mon, Apr 26, 2010",Orlando Magic,99,Charlotte Bobcats,90,19086,Time Warner Cable Arena
2010,"Mon, Apr 26, 2010",Atlanta Hawks,104,Milwaukee Bucks,111,18717,Bradley Center
2010,"Mon, Apr 26, 2010",Portland Trail Blazers,88,Phoenix Suns,107,18422,US Airways Center
2010,"Tue, Apr 27, 2010",Miami Heat,86,Boston Celtics,96,18624,TD Garden
2010,"Tue, Apr 27, 2010",Chicago Bulls,94,Cleveland Cavaliers,96,20562,Quicken Loans Arena
2010,"Tue, Apr 27, 2010",San Antonio Spurs,81,Dallas Mavericks,103,20557,American Airlines Center
2010,"Tue, Apr 27, 2010",Oklahoma City Thunder,87,Los Angeles Lakers,111,18997,STAPLES Center
2010,"Wed, Apr 28, 2010",Milwaukee Bucks,91,Atlanta Hawks,87,19304,Philips Arena
2010,"Wed, Apr 28, 2010",Utah Jazz,102,Denver Nuggets,116,19155,Pepsi Center
2010,"Thu, Apr 29, 2010",Dallas Mavericks,87,San Antonio Spurs,97,18581,AT&T Center
2010,"Thu, Apr 29, 2010",Phoenix Suns,99,Portland Trail Blazers,90,20313,Rose Garden Arena
2010,"Fri, Apr 30, 2010",Atlanta Hawks,83,Milwaukee Bucks,69,18717,Bradley Center
2010,"Fri, Apr 30, 2010",Los Angeles Lakers,95,Oklahoma City Thunder,94,18342,Oklahoma City Arena
2010,"Fri, Apr 30, 2010",Denver Nuggets,104,Utah Jazz,112,19911,EnergySolutions Arena
2010,"Sat, May 1, 2010",Boston Celtics,93,Cleveland Cavaliers,101,20562,Quicken Loans Arena
