Season,Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Attend.,Arena
2000,"Fri, Nov 19, 1999",New Jersey Nets,96,Boston Celtics,109,15201,FleetCenter
2000,"Fri, Nov 19, 1999",Sacramento Kings,103,Dallas Mavericks,94,15507,Reunion Arena
2000,"Fri, Nov 19, 1999",Cleveland Cavaliers,90,Detroit Pistons,101,15377,The Palace of Auburn Hills
2000,"Fri, Nov 19, 1999",Atlanta Hawks,105,Indiana Pacers,99,18345,Conseco Fieldhouse
2000,"Fri, Nov 19, 1999",Chicago Bulls,95,Los Angeles Lakers,103,18401,STAPLES Center
2000,"Fri, Nov 19, 1999",Utah Jazz,84,Minnesota Timberwolves,89,17517,Target Center
2000,"Fri, Nov 19, 1999",Charlotte Hornets,103,Orlando Magic,92,12936,TD Waterhouse Centre
2000,"Fri, Nov 19, 1999",Portland Trail Blazers,97,Philadelphia 76ers,91,20622,First Union Center
2000,"Fri, Nov 19, 1999",New York Knicks,81,Phoenix Suns,96,19023,America West Arena
2000,"Fri, Nov 19, 1999",Los Angeles Clippers,100,Toronto Raptors,106,16368,Air Canada Centre
2000,"Sat, Nov 20, 1999",Orlando Magic,107,Atlanta Hawks,103,14338,Philips Arena
2000,"Sat, Nov 20, 1999",Portland Trail Blazers,100,Charlotte Hornets,96,20688,Charlotte Coliseum
2000,"Sat, Nov 20, 1999",Indiana Pacers,107,Cleveland Cavaliers,98,13806,Gund Arena
2000,"Sat, Nov 20, 1999",Chicago Bulls,86,Denver Nuggets,95,15920,Pepsi Center
2000,"Sat, Nov 20, 1999",New York Knicks,86,Golden State Warriors,79,18533,The Arena in Oakland
2000,"Sat, Nov 20, 1999",Boston Celtics,92,Miami Heat,110,15200,Miami Arena
2000,"Sat, Nov 20, 1999",Utah Jazz,111,Milwaukee Bucks,100,18027,Bradley Center
2000,"Sat, Nov 20, 1999",Philadelphia 76ers,100,New Jersey Nets,96,15118,Continental Airlines Arena
2000,"Sat, Nov 20, 1999",Dallas Mavericks,90,San Antonio Spurs,106,16596,Alamodome
2000,"Sat, Nov 20, 1999",Houston Rockets,107,Seattle SuperSonics,110,15816,KeyArena at Seattle Center
2000,"Sat, Nov 20, 1999",Los Angeles Clippers,98,Washington Wizards,89,11753,MCI Center
2000,"Sun, Nov 21, 1999",Milwaukee Bucks,94,Detroit Pistons,113,13163,The Palace of Auburn Hills
2000,"Sun, Nov 21, 1999",Toronto Raptors,111,Los Angeles Lakers,102,18676,STAPLES Center
2000,"Sun, Nov 21, 1999",Seattle SuperSonics,86,Phoenix Suns,99,18663,America West Arena
2000,"Sun, Nov 21, 1999",Houston Rockets,105,Sacramento Kings,110,17317,ARCO Arena (II)
2000,"Sun, Nov 21, 1999",Minnesota Timberwolves,105,Vancouver Grizzlies,81,12493,General Motors Place
2000,"Mon, Nov 22, 1999",Indiana Pacers,85,Boston Celtics,95,15728,FleetCenter
2000,"Mon, Nov 22, 1999",San Antonio Spurs,94,Philadelphia 76ers,91,16553,First Union Center
2000,"Mon, Nov 22, 1999",Minnesota Timberwolves,93,Utah Jazz,108,19725,Delta Center
2000,"Tue, Nov 23, 1999",Miami Heat,106,Atlanta Hawks,113,11279,Philips Arena
2000,"Tue, Nov 23, 1999",Portland Trail Blazers,100,Cleveland Cavaliers,103,13565,Gund Arena
2000,"Tue, Nov 23, 1999",Dallas Mavericks,99,Houston Rockets,119,15088,Compaq Center
2000,"Tue, Nov 23, 1999",New York Knicks,95,Los Angeles Clippers,100,14487,STAPLES Center
2000,"Tue, Nov 23, 1999",Toronto Raptors,93,Phoenix Suns,94,18718,America West Arena
2000,"Tue, Nov 23, 1999",New Jersey Nets,92,Sacramento Kings,105,17021,ARCO Arena (II)
2000,"Tue, Nov 23, 1999",Vancouver Grizzlies,87,Washington Wizards,89,11219,MCI Center
2000,"Wed, Nov 24, 1999",San Antonio Spurs,121,Boston Celtics,98,17426,FleetCenter
2000,"Wed, Nov 24, 1999",Vancouver Grizzlies,73,Charlotte Hornets,89,16003,Charlotte Coliseum
2000,"Wed, Nov 24, 1999",Toronto Raptors,84,Denver Nuggets,109,13624,Pepsi Center
2000,"Wed, Nov 24, 1999",New Jersey Nets,92,Golden State Warriors,84,10017,The Arena in Oakland
2000,"Wed, Nov 24, 1999",Utah Jazz,82,Los Angeles Lakers,90,18997,STAPLES Center
2000,"Wed, Nov 24, 1999",Atlanta Hawks,91,Miami Heat,93,14554,Miami Arena
2000,"Wed, Nov 24, 1999",Chicago Bulls,95,Milwaukee Bucks,102,14209,Bradley Center
2000,"Wed, Nov 24, 1999",Portland Trail Blazers,88,Minnesota Timberwolves,81,16219,Target Center
2000,"Wed, Nov 24, 1999",Dallas Mavericks,100,Orlando Magic,112,12741,TD Waterhouse Centre
2000,"Wed, Nov 24, 1999",Washington Wizards,101,Philadelphia 76ers,93,14616,First Union Center
2000,"Thu, Nov 25, 1999",Detroit Pistons,107,Indiana Pacers,99,18345,Conseco Fieldhouse
2000,"Fri, Nov 26, 1999",Milwaukee Bucks,114,Boston Celtics,112,18027,FleetCenter
2000,"Fri, Nov 26, 1999",Washington Wizards,85,Charlotte Hornets,118,18542,Charlotte Coliseum
2000,"Fri, Nov 26, 1999",Minnesota Timberwolves,105,Denver Nuggets,114,18506,Pepsi Center
2000,"Fri, Nov 26, 1999",Atlanta Hawks,91,Detroit Pistons,93,17891,The Palace of Auburn Hills
2000,"Fri, Nov 26, 1999",Vancouver Grizzlies,86,Indiana Pacers,105,18345,Conseco Fieldhouse
2000,"Fri, Nov 26, 1999",New Jersey Nets,80,Los Angeles Lakers,103,18997,STAPLES Center
2000,"Fri, Nov 26, 1999",Cleveland Cavaliers,83,Philadelphia 76ers,106,16320,First Union Center
2000,"Fri, Nov 26, 1999",Houston Rockets,88,Portland Trail Blazers,91,20477,Rose Garden Arena
2000,"Fri, Nov 26, 1999",Golden State Warriors,95,Sacramento Kings,124,17317,ARCO Arena (II)
2000,"Fri, Nov 26, 1999",Chicago Bulls,78,San Antonio Spurs,101,24919,Alamodome
2000,"Fri, Nov 26, 1999",Los Angeles Clippers,93,Seattle SuperSonics,98,14439,KeyArena at Seattle Center
2000,"Fri, Nov 26, 1999",Toronto Raptors,100,Utah Jazz,87,19771,Delta Center
2000,"Sat, Nov 27, 1999",Boston Celtics,84,Atlanta Hawks,94,13736,Philips Arena
2000,"Sat, Nov 27, 1999",Charlotte Hornets,89,Cleveland Cavaliers,106,15194,Gund Arena
2000,"Sat, Nov 27, 1999",Chicago Bulls,83,Dallas Mavericks,95,14436,Reunion Arena
2000,"Sat, Nov 27, 1999",Toronto Raptors,106,Golden State Warriors,88,12251,The Arena in Oakland
2000,"Sat, Nov 27, 1999",Portland Trail Blazers,88,Los Angeles Clippers,71,14552,STAPLES Center
2000,"Sat, Nov 27, 1999",Washington Wizards,86,Miami Heat,89,14621,Miami Arena
2000,"Sat, Nov 27, 1999",Philadelphia 76ers,82,Milwaukee Bucks,79,15216,Bradley Center
2000,"Sat, Nov 27, 1999",Vancouver Grizzlies,82,Minnesota Timberwolves,113,16881,Target Center
2000,"Sat, Nov 27, 1999",Orlando Magic,96,New York Knicks,99,19763,Madison Square Garden (IV)
2000,"Sat, Nov 27, 1999",New Jersey Nets,90,Phoenix Suns,129,19023,America West Arena
2000,"Sat, Nov 27, 1999",Denver Nuggets,87,San Antonio Spurs,106,22188,Alamodome
2000,"Sun, Nov 28, 1999",Orlando Magic,108,Detroit Pistons,99,13212,The Palace of Auburn Hills
2000,"Sun, Nov 28, 1999",Indiana Pacers,91,Seattle SuperSonics,102,14644,KeyArena at Seattle Center
